Date,Instagram_Minutes,YouTube_Minutes,WhatsApp_Minutes,LinkedIn_Minutes,Reels_Watched,Videos_Watched,Messages_Sent,Posts_Liked,Study_Minutes
2026-08-22,134,126,158,4,129,52,385,41,78
2026-08-23,155,171,110,28,187,38,267,61,145
2026-08-24,50,205,104,60,68,59,299,25,262
2026-08-25,126,184,22,27,114,29,44,38,99
2026-08-26,97,166,94,39,81,30,314,16,213
2026-08-27,156,195,78,7,176,45,133,123,314
2026-08-28,177,57,112,5,144,21,384,61,297
2026-08-29,191,140,118,10,243,53,359,153,45
2026-08-30,102,202,75,26,69,33,169,29,14
2026-08-31,21,133,25,13,28,51,57,7,109
2026-09-01,146,35,42,66,192,10,98,78,167
2026-09-02,79,109,53,44,103,48,183,26,227
2026-09-03,62,167,53,0,45,73,167,24,300
2026-09-04,145,203,59,57,107,49,163,65,99
2026-09-05,207,226,51,27,164,92,138,100,103
2026-09-06,105,244,20,21,101,76,30,51,23
2026-09-07,104,78,23,38,107,16,77,66,313
2026-09-08,154,183,150,12,106,56,355,68,82
2026-09-09,179,146,45,40,127,22,71,54,131
2026-09-10,60,130,145,23,62,24,276,21,153
2026-09-11,123,119,69,56,122,19,182,35,47
2026-09-12,197,77,66,11,170,33,124,97,5
2026-09-13,101,150,76,6,65,63,134,13,0
2026-09-14,57,90,151,37,52,35,394,16,329
2026-09-15,82,158,127,61,100,23,374,37,270
2026-09-16,91,129,84,24,76,39,170,52,75
2026-09-17,133,79,23,9,80,14,52,29,197
2026-09-18,124,49,20,46,104,21,37,52,321
2026-09-19,91,154,145,19,83,42,441,21,72
2026-09-20,206,293,123,4,178,62,316,92,86
